uses_expectations_file,num_regressions,has_pretty_patch,date,other_crashes,num_passes,revision,layout_tests_dir,version,skipped,num_missing,num_flaky,fixable,pixel_tests_enabled,interrupted
True,222,True,"08:46AM on May 23, 2022",{},52074,250859@main,/app/webkit/LayoutTests,4,20561,54,42,24588,False,False
True,270,True,"10:02AM on May 23, 2022",{},50381,250863@main,/app/webkit/LayoutTests,4,22371,12,0,26281,False,True
True,221,True,"12:23PM on May 23, 2022",{},52080,250870@main,/app/webkit/LayoutTests,4,20559,56,49,24580,False,False
True,217,True,"02:02PM on May 23, 2022",{},52068,250879@main,/app/webkit/LayoutTests,4,20559,54,60,24592,False,False
True,218,True,"03:41PM on May 23, 2022",{},52079,250882@main,/app/webkit/LayoutTests,4,20559,54,50,24581,False,False
True,267,True,"04:59PM on May 23, 2022",{},50978,250892@main,/app/webkit/LayoutTests,4,21758,12,0,25679,False,True
True,265,True,"06:17PM on May 23, 2022",{},50266,250897@main,/app/webkit/LayoutTests,4,22481,12,0,26393,False,True
True,267,True,"07:34PM on May 23, 2022",{},50428,250900@main,/app/webkit/LayoutTests,4,22316,12,0,26230,False,True
True,220,True,"09:13PM on May 23, 2022",{},52079,250902@main,/app/webkit/LayoutTests,4,20561,55,54,24581,False,False
True,269,True,"10:33PM on May 23, 2022",{},52052,250905@main,/app/webkit/LayoutTests,4,20633,0,0,24608,False,True
True,264,True,"11:49PM on May 23, 2022",{},50184,250906@main,/app/webkit/LayoutTests,4,22584,0,0,26475,False,True
True,217,True,"01:29AM on May 24, 2022",{},52071,250908@main,/app/webkit/LayoutTests,4,20563,44,55,24590,False,False
True,178,True,"03:09AM on May 24, 2022",{},52110,250909@main,/app/webkit/LayoutTests,4,20563,16,53,24551,False,False
True,223,True,"07:36AM on May 24, 2022",{},50644,250910@main,/app/webkit/LayoutTests,4,22149,0,0,26016,False,True
True,174,True,"09:15AM on May 24, 2022",{},52115,250911@main,/app/webkit/LayoutTests,4,20563,15,49,24546,False,False
True,172,True,"10:53AM on May 24, 2022",{},52119,250916@main,/app/webkit/LayoutTests,4,20563,15,59,24543,False,False
True,178,True,"12:32PM on May 24, 2022",{},52125,250919@main,/app/webkit/LayoutTests,4,20563,15,57,24537,False,False
True,177,True,"02:23PM on May 24, 2022",{},52114,250921@main,/app/webkit/LayoutTests,4,20564,15,52,24550,False,False
True,227,True,"03:40PM on May 24, 2022",{},50657,250927@main,/app/webkit/LayoutTests,4,22143,0,0,26007,False,True
True,229,True,"04:56PM on May 24, 2022",{},50795,250937@main,/app/webkit/LayoutTests,4,22007,0,0,25870,False,True
True,225,True,"06:17PM on May 24, 2022",{},51775,250940@main,/app/webkit/LayoutTests,4,20980,0,0,24891,False,True
True,174,True,"07:56PM on May 24, 2022",{},52132,250942@main,/app/webkit/LayoutTests,4,20565,15,39,24535,False,False
True,176,True,"09:34PM on May 24, 2022",{},52121,250943@main,/app/webkit/LayoutTests,4,20565,15,47,24546,False,False
True,173,True,"11:12PM on May 24, 2022",{},52113,250946@main,/app/webkit/LayoutTests,4,20565,15,58,24554,False,False
